thr,FP,FN,FPR,FNR,FP_plus_FN,max_FPR_FNR
0.0,351,0,1.0,0.0,351,1.0
0.002,351,0,1.0,0.0,351,1.0
0.004,351,0,1.0,0.0,351,1.0
0.006,351,0,1.0,0.0,351,1.0
0.008,351,0,1.0,0.0,351,1.0
0.01,351,0,1.0,0.0,351,1.0
0.012,351,0,1.0,0.0,351,1.0
0.014,351,0,1.0,0.0,351,1.0
0.016,351,0,1.0,0.0,351,1.0
0.018000000000000002,350,0,0.9971509971509972,0.0,350,0.9971509971509972
0.02,350,0,0.9971509971509972,0.0,350,0.9971509971509972
0.022,350,0,0.9971509971509972,0.0,350,0.9971509971509972
0.024,350,0,0.9971509971509972,0.0,350,0.9971509971509972
0.026000000000000002,350,0,0.9971509971509972,0.0,350,0.9971509971509972
0.028,350,0,0.9971509971509972,0.0,350,0.9971509971509972
0.03,350,0,0.9971509971509972,0.0,350,0.9971509971509972
0.032,350,0,0.9971509971509972,0.0,350,0.9971509971509972
0.034,349,0,0.9943019943019943,0.0,349,0.9943019943019943
0.036000000000000004,349,0,0.9943019943019943,0.0,349,0.9943019943019943
0.038,349,0,0.9943019943019943,0.0,349,0.9943019943019943
0.04,349,0,0.9943019943019943,0.0,349,0.9943019943019943
0.042,349,0,0.9943019943019943,0.0,349,0.9943019943019943
0.044,349,0,0.9943019943019943,0.0,349,0.9943019943019943
0.046,349,0,0.9943019943019943,0.0,349,0.9943019943019943
0.048,349,0,0.9943019943019943,0.0,349,0.9943019943019943
0.05,349,0,0.9943019943019943,0.0,349,0.9943019943019943
0.052000000000000005,349,0,0.9943019943019943,0.0,349,0.9943019943019943
0.054,348,0,0.9914529914529915,0.0,348,0.9914529914529915
0.056,348,0,0.9914529914529915,0.0,348,0.9914529914529915
0.058,347,0,0.9886039886039886,0.0,347,0.9886039886039886
0.06,347,0,0.9886039886039886,0.0,347,0.9886039886039886
0.062,347,0,0.9886039886039886,0.0,347,0.9886039886039886
0.064,347,0,0.9886039886039886,0.0,347,0.9886039886039886
0.066,347,0,0.9886039886039886,0.0,347,0.9886039886039886
0.068,347,0,0.9886039886039886,0.0,347,0.9886039886039886
0.07,347,0,0.9886039886039886,0.0,347,0.9886039886039886
0.07200000000000001,347,0,0.9886039886039886,0.0,347,0.9886039886039886
0.074,346,0,0.9857549857549858,0.0,346,0.9857549857549858
0.076,345,0,0.9829059829059829,0.0,345,0.9829059829059829
0.078,345,0,0.9829059829059829,0.0,345,0.9829059829059829
0.08,345,0,0.9829059829059829,0.0,345,0.9829059829059829
0.082,345,0,0.9829059829059829,0.0,345,0.9829059829059829
0.084,344,0,0.98005698005698,0.0,344,0.98005698005698
0.08600000000000001,344,0,0.98005698005698,0.0,344,0.98005698005698
0.088,343,0,0.9772079772079773,0.0,343,0.9772079772079773
0.09,341,0,0.9715099715099715,0.0,341,0.9715099715099715
0.092,340,0,0.9686609686609686,0.0,340,0.9686609686609686
0.094,340,0,0.9686609686609686,0.0,340,0.9686609686609686
0.096,340,0,0.9686609686609686,0.0,340,0.9686609686609686
0.098,340,0,0.9686609686609686,0.0,340,0.9686609686609686
0.1,340,0,0.9686609686609686,0.0,340,0.9686609686609686
